MainID,St_name,Dist,DistName,StartTime,EndTime,Side,from,to,miles,oneway,week1,week2,week3,week4,week5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,everyday,yearround
2249,Rutland St,1S,South End,8:00,12:00,Even,Shawmut Ave,Tremont St,0.1604,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2250,Rutland St,1S,South End,12:00,16:00,Odd,Shawmut Ave,Tremont St,0.1604,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2251,Rutland St,1S,South End,8:00,12:00,Even,Washington St,Shawmut Ave,0.0737,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2252,Rutland St,1S,South End,12:00,16:00,Odd,Washington St,Shawmut Ave,0.0737,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2253,South Hobart St,4,Allston/Brighton,8:00,12:00,Odd,Faneuil St,Oakland St,0.2223,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2254,South Hobart St,4,Allston/Brighton,8:00,12:00,Even,Faneuil St,Oakland St,0.2223,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2255,Sachem St,10M,Mission Hill,12:00,16:00,Even,Calumet St,Parker Hill Ave,0.2544,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2256,Sachem St,10M,Mission Hill,12:00,16:00,Odd,Calumet St,Parker Hill Ave,0.2544,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2257,Sackville St,1C,Charlestown,8:00,12:00,Even,Bunker Hill St,Medford St,0.1242,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2258,Sackville St,1C,Charlestown,8:00,12:00,Odd,Bunker Hill St,Medford St,0.1242,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
