FID,OBJECTID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape__Length
2769,6224,Washington Street,5162400,3,2,0,2016,SLM,23.5361587659412
2770,6227,Washington Street,4679500,3,2,0,2016,SLM,114.472241979425
2771,6255,Washington Street,4670000,3,2,0,2016,SLM,211.570869049924
2772,6256,Washington Street,4662900,3,2,0,2016,SLM,234.65441570504
2773,6315,Norfolk Street,4942900,5,2,0,2017,BL,130.851969704348
2774,6316,Blue Hill Avenue,4918100,3,2,1,2010,BL,89.968021434412
2775,6317,Blue Hill Avenue,5111000,3,2,1,2010,BL,101.059713950897
2776,6318,Blue Hill Avenue,5111100,3,2,1,2010,BL,99.0062305412417
2777,6319,Blue Hill Avenue,4871900,3,2,1,2010,BL,253.100498390809
2778,6321,Warren Street,5601500,5,2,1,2011,BL,146.753874310747
2779,6322,Warren Street,5601400,5,2,1,2011,BL,153.53390807143
2780,6323,Walnut Avenue,5741400,6,2,0,2011,BLSL,119.664544988145
2781,6324,Martin Luther King Boulevard,6239700,5,2,1,2010,BL,319.396183906397
2782,6325,Massachusetts Avenue,5200600,3,2,0,2016,SBLBL,67.7763845587365
2783,6326,Massachusetts Avenue,5200500,3,2,0,2016,SBLBL,57.4562403154744
2784,6327,Boylston Street,5809600,3,2,0,2016,BLSL,171.57813605511
2785,6328,Massachusetts Avenue,5200400,3,2,0,2016,SBL,62.6668234813328
2786,6329,Commonwealth Avenue,6209300,3,2,1,2010,BL,178.753548625812
2787,6330,Massachusetts Avenue,5770300,3,2,1,2011,BL,254.479426146927
2788,6331,Massachusetts Avenue,5273600,3,2,1,2011,BL,188.403249881454
2789,6332,Huntington Avenue,5978500,3,2,1,2012,SLM,57.13167922016
2790,6333,Huntington Avenue,5595800,3,2,1,2014,BL,154.563350782725
2791,6334,Beacon Street,4477200,3,2,0,2018,SBL,255.378830845308
2792,6335,Cambridge Street,5226900,3,2,0,2011,BL,48.553219997106
2793,6336,Beacon Street,4491700,3,2,0,2018,SBL,295.990085431836
2794,6337,Old Road,6282800,0,2,1,2009,BL,66.5809263541249
2795,6338,Blue Hill Avenue,5223000,5,2,1,2010,BL,123.518935646674
2796,6339,Columbia Road,6257900,5,2,1,2010,SLM,72.0098116535275
2797,6340,Blue Hill Avenue,5223100,5,2,1,2010,BL,106.179373539946
2798,6341,Blue Hill Avenue,6240600,5,2,1,2010,BL,102.334709073956
2799,6342,Blue Hill Avenue,6290400,5,2,1,2010,BL,150.533873102784
2800,6343,Warren Street,5601100,5,2,1,2011,BL,193.876643335965
